county_state,countyfips,state_name,county_name,NIC_2019,NIC_2020,NUI_2019,NUI_2020,nic_moe_2019,nic_moe_2020,nui_moe_2019,nui_moe_2020,statefips
"Owen County, KY",187,KY,Owen County,8017.0,7973.0,741.0,811.0,98.0,120.0,98.0,120.0,21
"Owsley County, KY",189,KY,Owsley County,3195.0,3128.0,253.0,198.0,35.0,33.0,35.0,33.0,21
"Pendleton County, KY",191,KY,Pendleton County,11133.0,11065.0,962.0,959.0,127.0,144.0,127.0,144.0,21
"Perry County, KY",193,KY,Perry County,19049.0,19146.0,1657.0,1162.0,212.0,179.0,212.0,179.0,21
"Pike County, KY",195,KY,Pike County,41054.0,40906.0,4051.0,3214.0,478.0,456.0,478.0,456.0,21
"Powell County, KY",197,KY,Powell County,9330.0,9223.0,754.0,663.0,103.0,105.0,103.0,105.0,21
"Pulaski County, KY",199,KY,Pulaski County,46946.0,48195.0,4845.0,3476.0,590.0,510.0,590.0,510.0,21
"Robertson County, KY",201,KY,Robertson County,1483.0,1477.0,136.0,118.0,19.0,19.0,19.0,19.0,21
"Rockcastle County, KY",203,KY,Rockcastle County,12258.0,12410.0,1004.0,779.0,136.0,122.0,136.0,122.0,21
"Rowan County, KY",205,KY,Rowan County,16402.0,16656.0,1431.0,1309.0,209.0,226.0,209.0,226.0,21
"Russell County, KY",207,KY,Russell County,12684.0,12789.0,1394.0,1193.0,178.0,180.0,178.0,180.0,21
"Scott County, KY",209,KY,Scott County,46023.0,47197.0,3076.0,2962.0,379.0,422.0,379.0,422.0,21
"Shelby County, KY",211,KY,Shelby County,36424.0,37051.0,3759.0,3246.0,454.0,454.0,454.0,454.0,21
"Simpson County, KY",213,KY,Simpson County,13996.0,13842.0,1129.0,1214.0,153.0,192.0,153.0,192.0,21
"Spencer County, KY",215,KY,Spencer County,15567.0,15517.0,1029.0,1138.0,131.0,166.0,131.0,166.0,21
"Taylor County, KY",217,KY,Taylor County,18183.0,18230.0,1442.0,1282.0,204.0,208.0,204.0,208.0,21
"Todd County, KY",219,KY,Todd County,8790.0,8701.0,1266.0,1309.0,157.0,188.0,157.0,188.0,21
"Trigg County, KY",221,KY,Trigg County,10216.0,10297.0,943.0,810.0,124.0,128.0,124.0,128.0,21
"Trimble County, KY",223,KY,Trimble County,6426.0,6368.0,495.0,498.0,68.0,78.0,68.0,78.0,21
"Union County, KY",225,KY,Union County,10822.0,10723.0,998.0,912.0,138.0,146.0,138.0,146.0,21
"Warren County, KY",227,KY,Warren County,98494.0,100769.0,9688.0,8997.0,1107.0,1182.0,1107.0,1182.0,21
"Washington County, KY",229,KY,Washington County,8932.0,8789.0,852.0,943.0,107.0,139.0,107.0,139.0,21
"Wayne County, KY",231,KY,Wayne County,14107.0,14029.0,1298.0,1150.0,182.0,184.0,182.0,184.0,21
"Webster County, KY",233,KY,Webster County,9187.0,9048.0,1057.0,1040.0,132.0,147.0,132.0,147.0,21
"Whitley County, KY",235,KY,Whitley County,26349.0,26479.0,2178.0,1939.0,279.0,294.0,279.0,294.0,21
"Wolfe County, KY",237,KY,Wolfe County,5139.0,5139.0,438.0,380.0,61.0,62.0,61.0,62.0,21
"Woodford County, KY",239,KY,Woodford County,19448.0,19347.0,1652.0,1578.0,202.0,234.0,202.0,234.0,21
"Acadia Parish, LA",1,LA,Acadia Parish,46301.0,45645.0,5206.0,5029.0,619.0,693.0,619.0,693.0,22
"Allen Parish, LA",3,LA,Allen Parish,15937.0,15839.0,1784.0,1570.0,237.0,229.0,237.0,229.0,22
